Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
600299.SH,80763.67382455482,10861937685,87708.09494430943,90068531030
600307.SH,16142.009924384,81122365288,17073.629123067603,133308787307
600315.SH,308613.08727949613,24811367499,330808.4998383977,779043644718
600316.SH,246691.80374358676,12737142174,262885.5525131633,321440728315
600325.SH,88494.97110307474,34673516505,93821.34193712825,313530447896
600329.SH,285141.59207857866,11933764988,301252.43257146806,346839785101
600339.SH,29123.133838822865,61580695852,30768.198006556035,183271573149
600348.SH,140708.62148862414,53537582295,150649.71783054475,770440003808
600350.SH,55400.91724924345,10408626301,58472.65236561492,58683238372
600352.SH,97464.41873583417,13303948359,103691.54616478733,131823898261
600369.SH,37068.7586664411,33435263433,39093.277512292356,125108065357
600373.SH,94077.82788451934,11494150906,98852.22654073907,109862913855
600376.SH,55121.890468541125,52480051422,58670.51722073862,294487401562
600377.SH,80659.90266042728,8934399604,85033.78549688886,72925541625
600378.SH,421109.17298537516,3663823346,450234.9139910961,157829227835
600380.SH,110362.56387892958,23125061853,120165.16462641805,262137518485
600390.SH,49931.78591992369,34414212471,52567.6635138079,174941454545
600392.SH,138119.06554420645,47475832346,148701.4107502455,671588383043
600398.SH,51878.48762685298,23254876463,54687.87143920407,122425654916
600399.SH,141783.41205091542,43621543315,151203.3480421311,628941934685
600406.SH,243305.46181860636,61694529664,260365.11882041403,1530477303356
600409.SH,64854.87409721272,16510011850,69519.64306252653,109334484863
600415.SH,51516.00444780666,313162532860,54671.05965307124,1644378812554
600418.SH,129926.68257753558,149385311345,138772.9902201228,1992564788619
600435.SH,112301.51257733718,85012833036,120474.69521235456,974119686302
600438.SH,374561.61791814974,94465401326,406340.4664189785,3683926819851
600482.SH,151452.50946923826,2795492813,160228.75836270992,42798435739
600486.SH,1013800.4511996354,2107481601,1083345.0087321775,220660516673
600487.SH,147873.7265800081,138072237792,159658.08249451363,2122095324644
600489.SH,79501.62506218824,138501497093,85020.59006565186,1139116936791
600497.SH,48032.20921038475,46825488063,52254.2234209119,236559120661
600498.SH,122638.0247305327,2804422000,138180.2435382083,36812557841
600499.SH,139781.19335389303,25788592311,150127.44301021894,371087481770
600500.SH,64517.512255003865,15811080694,68516.60231603721,104219224115
600507.SH,59443.55932818716,9286839904,62367.85629450463,55938441959
600511.SH,272404.62943341996,7660817105,298195.61063834897,213140909566
600516.SH,60356.62791204151,21982492240,64258.099384040885,134699031539
600517.SH,47767.452160753186,8246759173,50244.28441033546,39850891472
600521.SH,214828.77618672853,104657292274,230994.29602541428,2329202650418
600528.SH,75140.69829212985,11601817683,79425.98049241013,88626603410
600529.SH,277926.8382868078,7565628299,293505.20959661604,214709440689
600535.SH,105575.53664329943,10009958441,113307.97369852274,107904679118
600536.SH,567377.1239925827,56279315496,611350.6532232302,3290831104105
600546.SH,143429.18781654813,41196123589,152318.53745573328,601128216542
600549.SH,192473.87425994693,27551943360,206879.95625809682,544760018215
600556.SH,65373.744444406395,159642996798,70822.13329063391,1065268598980
600563.SH,1543955.7967085275,3996426855,1649581.5831228066,641011951096
600566.SH,265638.7654625882,26481969496,282029.6432099536,720402892889
600567.SH,24288.142059864545,28876326140,25630.92433724586,70922195404
600580.SH,122329.28836927925,23349361327,129743.47433666662,292135231177
600582.SH,51362.51294403792,53097444116,54218.41738249113,278400688025
600585.SH,269091.3192362132,30365254030,285579.108669638,836196910825
600597.SH,104435.10389178207,36764383177,110662.6234651314,390290166191
600598.SH,134510.84689529633,20269876376,143030.3174937094,277544271610
600623.SH,62518.21756915723,7125707043,66805.50939075646,45008835142
600637.SH,63037.84287650271,27079829418,68305.82440689753,178003010090
